commit,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment
244ea1b5e49081530e0ba5c717db1fdbe2bda73e,1.9820143884892085,17.073741007194243,1.474820143884892,4.1852517985611515,4.093525179856115,5.0071942446043165,1.6672661870503598,20.37589928057554,1.9640287769784173,16.807553956834532,1.45863309352518
a026bde1ac84f90f0b82faa18890b2023c5198d5,1.9910071942446044,17.100719424460433,1.474820143884892,4.194244604316546,4.10251798561151,5.010791366906475,1.6672661870503598,20.408273381294965,1.973021582733813,16.83273381294964,1.45863309352518
789b3effec89e6f336726de109eb8be9dc60b7a5,1.9836065573770492,16.75774134790528,1.506375227686703,4.054644808743169,3.9562841530054644,4.819672131147541,1.6958105646630237,20.091074681238617,1.9672131147540983,16.557377049180328,1.4918032786885247
9c44ea440323e35e4a234d0d27d511e9b4d8dc21,1.9820143884892085,17.073741007194243,1.474820143884892,4.1852517985611515,4.093525179856115,5.0071942446043165,1.6672661870503598,20.37589928057554,1.9640287769784173,16.807553956834532,1.45863309352518
cd27bc7a0bdb7e62090c503b9e8ab4b4a6bb3d06,1.97992700729927,16.72992700729927,1.510948905109489,4.060218978102189,3.9616788321167884,4.821167883211679,1.6934306569343065,20.076642335766422,1.9616788321167884,16.53102189781022,1.4963503649635037
bb622de88df4c013d29f5caaec521ac91ba754fd,1.97992700729927,16.72992700729927,1.5127737226277371,4.060218978102189,3.9635036496350367,4.821167883211679,1.6934306569343065,20.07846715328467,1.9616788321167884,16.53102189781022,1.4981751824817517
2b69d3116ffb4a800c408b8cb0b508ca1886ea84,1.97992700729927,16.726277372262775,1.5127737226277371,4.0583941605839415,3.9616788321167884,4.817518248175182,1.6916058394160585,20.074817518248175,1.9616788321167884,16.527372262773724,1.4981751824817517
ba5e05ffeff03c4835d0618ab34acb97ef753d0c,1.9762773722627738,16.71897810218978,1.5127737226277371,4.056569343065694,3.95985401459854,4.815693430656935,1.6916058394160585,20.067518248175183,1.9580291970802919,16.521897810218977,1.4981751824817517
ef1e74065c19cc427c4a1b322154fd55d7a3588b,1.9892086330935252,17.107913669064747,1.474820143884892,4.196043165467626,4.10431654676259,5.012589928057554,1.6672661870503598,20.41726618705036,1.9712230215827338,16.83992805755396,1.45863309352518
40069d6e3a195c8c2414ea60ed75b84ae47f88a1,1.9818840579710144,16.61231884057971,1.4855072463768115,4.02536231884058,3.9329710144927534,4.768115942028985,1.6757246376811594,19.92753623188406,1.963768115942029,16.41485507246377,1.4692028985507246
0730dd4ffb39358f30b1a956cd9182aed1958b47,1.9635036496350364,16.71167883211679,1.4981751824817517,4.054744525547445,3.9616788321167884,4.821167883211679,1.6916058394160585,20.025547445255473,1.9507299270072993,16.503649635036496,1.4835766423357664
6a97da396470cb85e289a4810326fd7f50062b96,2.0017953321364454,17.17773788150808,1.4739676840215439,4.202872531418312,4.1059245960502695,5.021543985637343,1.6696588868940754,20.48653500897666,1.9838420107719927,16.910233393177737,1.4578096947935368
