commit,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxNesting
d9545c7f465ed103df44cd93caddfdd265757779,113.0,112.0,154.0,13
8f4496148b643f48ec969f48fdaf5d6d8e6153ed,112.0,111.0,154.0,13
bb0ba9974314da72bba9a6200fa3bd61c4d9eab4,117.0,116.0,154.0,13
dcde8b3dcd8d4411a2311fa0a93ca4ca3b26d61f,117.0,116.0,154.0,13
2fc0f1849bd0d6100719bb53f89f15fbd734157a,117.0,116.0,154.0,13
2e3926b9489cb767b38526a3a72403087053a1d8,113.0,112.0,154.0,13
05a5869a01779e6fb55535aff9b01716aac42dcf,113.0,112.0,154.0,13
577dfd03024f1913c6eba63b43a56d254e694347,117.0,116.0,154.0,13
90a78b83e0b812d1f42501a54372720def4ddd84,113.0,112.0,154.0,13
268ef4d3d07e4cf9909ac060b63b195509391190,117.0,116.0,154.0,13
d66f68ff985f494f3122ab05b532c6e41884ad64,113.0,112.0,154.0,13
7a7d0854ff3cb1bc5b95e9295b9c11089d9a75a6,117.0,116.0,154.0,13
8648eacc1d45a7d25cb4d293549bbe6ae17cbd81,117.0,116.0,154.0,13
5bfc50d6fe58ec38f55efff43220dc3274b4629b,117.0,116.0,154.0,13
1f66975deb8402131fbf7c14330d0c7cdebaeaa2,117.0,116.0,154.0,13
f4beed60d5ef3fdbd31ac5bd3162182fdf2bf0d3,113.0,112.0,154.0,13
3f215b03289ff594f3e4aba7c7a4b774dc4c226e,113.0,112.0,154.0,13
e6273f4da51287363137a24200dd43b87c801b3d,113.0,112.0,154.0,13
6a36e1e7bb64726cc712259aff57179d81361b5d,113.0,112.0,154.0,13
13af774e263341eecdd67e6ca28ecc47d7997152,113.0,112.0,154.0,13
66106691a1b71e445fe5e4d6b8b043dffc7dfe4c,113.0,112.0,154.0,13
b153d2ae9206f752dd383c7bc30a5ab246ee5bcc,117.0,116.0,154.0,13
0f8e831356d4f1a34baf46bb1a6b2d4c89ec9cb8,113.0,112.0,154.0,13
3916adf9978b020f9a9b165f4c1c109046899560,117.0,116.0,154.0,13
d9d501b0683f47f0150ea5c545426f9474cdd350,112.0,111.0,154.0,13
e9980419cb925ba158f3015252e0afa2cea5a1b6,113.0,112.0,154.0,13
9ce2824e4ba56bf0f2017a0e351fa35c22a705ac,117.0,116.0,154.0,13
8e342255224f459ddff4d7f974161ae47d26d1d7,117.0,116.0,154.0,13
0409e0b6dc169b07c05d02e8b62389b1cc975a45,117.0,116.0,154.0,13
73e57aaf4ded85bb5387365f1ebefaabf80cf073,117.0,116.0,154.0,13
a43b68a196652a0c6b054ee4905ac98d1cdcbbb9,113.0,112.0,154.0,13
9e6c1e91a3f06eec45f976ed3ff4e9f445cf7328,113.0,112.0,154.0,13
50b4a7807f5f1db79a0a4f4400c29bc00efbd307,113.0,112.0,154.0,13
f7f90e0f4f58d493242078d17c0eba41dd3f1f79,113.0,112.0,154.0,13
968004c39c65e8a5d1a0b86af75fcf16a5eb6835,113.0,112.0,154.0,13
b051c59a00dbe1b2316d10ac95c789de2ad35d18,113.0,112.0,154.0,13
b15a3e005af07843116c73205742adfbab3d2e82,113.0,112.0,154.0,13
462cbb415e41aa890e78a30a5cc29558baa80b23,111.0,110.0,154.0,13
aa20cbc2e6cc39853dad688fcd7dc51132172fcd,113.0,112.0,154.0,13
2bb73ae8037ae6fd82f002257d04f8cda2a721cd,113.0,112.0,154.0,13
cd82b7a0f7217d82dd04fd95f88f0cb3294199f6,111.0,110.0,154.0,13
d2986d0f290a065fb8a534fabfff36c40d37ae97,113.0,112.0,154.0,13
d615628c354ad2aaf3f3f37b3f84ddcc7c3537c6,113.0,112.0,154.0,13
d3621de789ab57739f48b065751089d828b50240,113.0,112.0,154.0,13
