commit,AltCountLineBlank,AltCountLineCode,AltCountLineComment,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxNesting,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment
8ba18e6fa402666fe94a285cd27addd9b0df6462,31997,191083,36857,257724,31371,175683,45648,118324,35744,7745,10500,39600.0,38381.0,46655.0,19950.0,161.0,161.0,161.0,13,1.949579831932773,16.705882352941178,1.453781512605042,4.1193277310924366,4.018487394957983,4.9109243697478995,1.6218487394957983,19.97142857142857,1.9378151260504202,16.452100840336133,1.442016806722689
8ba1d6616fa5ebc46c3f70139a549c672348e1aa,30718,185261,34867,248677,30137,170339,43978,114916,33772,7454,10240,38492.0,37334.0,45319.0,19392.0,161.0,161.0,161.0,13,1.9825174825174825,16.93006993006993,1.4615384615384615,4.153846153846154,4.0524475524475525,4.945804195804196,1.6363636363636365,20.223776223776223,1.9702797202797202,16.66083916083916,1.4493006993006994
8ba35a2dc696c1b9eb95976a690b61d375a083d5,28000,171658,31920,229471,27434,158616,40541,107267,30851,6790,8927,35644.0,34576.0,42188.0,18055.0,118.0,117.0,154.0,13,1.9648798521256932,16.77634011090573,1.5138632162661738,4.079482439926063,3.9870609981515712,4.857670979667283,1.6950092421441774,20.10536044362292,1.9519408502772644,16.567467652495377,1.4990757855822552
8ba74bfd7c7e11454a15ed6360777e702c438846,25392,158337,28289,210023,24845,145980,36879,98935,27243,6609,8346,32984.0,32016.0,39160.0,16786.0,113.0,112.0,154.0,13,1.9013806706114398,16.380670611439843,1.5285996055226825,4.0276134122287965,3.932938856015779,4.808678500986193,1.7455621301775148,19.62721893491124,1.8875739644970415,16.173570019723865,1.5128205128205128
8bb0455367a17bd7428e02f835e3f55c8cd168da,27278,168046,30832,224084,26722,155177,39491,105114,29769,6725,8795,34987.0,33952.0,41394.0,17748.0,117.0,116.0,154.0,13,1.9090909090909092,16.339015151515152,1.503787878787879,3.9943181818181817,3.8958333333333335,4.753787878787879,1.6931818181818181,19.579545454545453,1.8977272727272727,16.145833333333332,1.490530303030303
8bb6d60dd6b6f2f72fe091cb03d571dbdc01aa3e,32324,192830,37172,260095,31698,177377,46083,119555,36059,7745,10553,39976.0,38745.0,47097.0,20137.0,161.0,161.0,161.0,13,1.9546218487394957,16.774789915966387,1.457142857142857,4.132773109243698,4.033613445378151,4.9260504201680675,1.6319327731092437,20.045378151260504,1.9428571428571428,16.521008403361346,1.4453781512605042
8bc095f7d5b847501e06e8bc1eafc50a314b99b9,30298,183326,34338,245808,29736,168887,43399,114160,33282,7215,9893,38121.0,36981.0,45007.0,19234.0,161.0,161.0,161.0,13,1.9946619217081851,17.104982206405694,1.4715302491103204,4.183274021352313,4.090747330960854,5.0,1.6619217081850535,20.40747330960854,1.9786476868327403,16.83629893238434,1.4572953736654803
8bc172e5f29894d440aab772ae3a49eb2eaf5585,27913,171304,31817,228930,27348,158289,40490,106993,30748,6793,8894,35548.0,34492.0,42066.0,18049.0,118.0,117.0,154.0,13,1.961111111111111,16.81851851851852,1.5037037037037038,4.061111111111111,3.9703703703703703,4.8277777777777775,1.6870370370370371,20.131481481481483,1.9481481481481482,16.616666666666667,1.488888888888889
8bcba3d0d60d859c1494cdb59301cf84befcdfaa,27285,168277,30799,224281,26729,155408,39641,105182,29736,6725,8795,35005.0,33970.0,41415.0,17760.0,117.0,116.0,154.0,13,1.9053030303030303,16.333333333333332,1.4981060606060606,3.996212121212121,3.899621212121212,4.755681818181818,1.6931818181818181,19.575757575757574,1.893939393939394,16.136363636363637,1.4848484848484849
8bdaecb402cc024ff1ce7fc8856e4ee87f9102f1,28887,175909,33074,235763,28337,162825,41769,110064,32039,6684,9028,36516.0,35423.0,43203.0,18613.0,118.0,117.0,154.0,13,1.959780621572212,16.694698354661792,1.5045703839122486,4.053016453382084,3.956124314442413,4.822669104204754,1.6892138939670933,20.009140767824498,1.946983546617916,16.491773308957953,1.4917733089579526
