commit,Cyclomatic,CyclomaticModified,CyclomaticStrict
03c7e2a321f11ba75774a5ef5a3e75b2595e150b,6.0,6.0,6.0
03d4bc1edfd933a073fd7b17b9ecd901798fb5e2,5.26131322094055,5.11357586512866,6.205412599822537
03df4959472e7d4b5117bb72ac86e1e2bcf21723,5.265943600867679,5.115401301518438,6.207375271149675
03df567fbf6afeca32f6a27d04656c1a3a162453,5.310823311748381,5.157261794634597,6.28677150786309
03e7833f3ab2e72578db3fbcde6b80af323bc818,5.264510412051395,5.116969428444838,6.208241027913159
03e8004f0674a704330519d07fa84957989e2686,5.261989342806395,5.114120781527531,6.2060390763765545
03f25e85d902e24250129fe0247407690c8d66ba,5.420180722891566,5.265562248995984,6.420682730923695
03f40829ad22deb7b6950cfc28a3779ece9e6a56,5.353831137140069,5.202049780380674,6.339677891654466
03f78e143474de2246ab06dbc26bc41245bc70f9,5.247297881539127,5.095114569822741,6.186338089061825
040746c061c1138222d7db1f9ace292ef1a0935d,5.303100416473855,5.15270708005553,6.255900046274872
0409e0b6dc169b07c05d02e8b62389b1cc975a45,5.167686034658511,5.017329255861366,6.130479102956167
041c72de109075d630f77bc2ad225f6339f33c9a,5.2055498458376155,5.053956834532374,6.173175745118191
041c98e22d88d963a92f1bac6ab348a0d4c6d228,5.24773413897281,5.095813552006906,6.186447993094519
041fe8fc83770f95b09db4aa9d9b3783789eab08,5.260097647581003,5.112294718153573,6.203728362183755
042e290da6aee0a9f21cd5890ccf231c266e177e,5.355295265983407,5.203513909224012,6.341142020497804
0433d533f13671f4313c31e34707f0f5281a18e0,5.256118881118881,5.1053321678321675,6.194493006993007
0445bd7b556283339bb4f07d11114ff8e50515af,5.261026102610261,5.11026102610261,6.212871287128713
044aa0eb7fa44f0f2d44c3331d6218e087b45fc2,5.26978417266187,5.119154676258993,6.211780575539568
044fb190f75cdec35e56bde30ec214ab144311d9,5.342367256637168,5.190818584070796,6.357853982300885
04550ab56f3191a27cb8e4f10a7398b396094f58,5.252490255521871,5.100043308791685,6.192724122996968
0460f4727793663b34fbf0711f60394de730f833,5.261146496815287,5.101910828025478,6.1987261146496815
046b48239eca34425909330e59da57f5fd421bdc,5.308333333333334,5.158333333333333,6.286574074074074
